,heat,occupancy,water
2015-01-01 00:00:00,848.9799746118309,False,0.0
2015-01-01 00:15:00,883.5520768740801,False,0.0
2015-01-01 00:30:00,844.9030432658418,False,0.0
2015-01-01 00:45:00,5985.903248018614,True,0.0
2015-01-01 01:00:00,5727.661427172305,True,2.0
2015-01-01 01:15:00,626.3472436043763,False,0.0
2015-01-01 01:30:00,752.594514958239,False,0.0
2015-01-01 01:45:00,767.306755087553,False,0.0
2015-01-01 02:00:00,769.9275099783231,False,0.0
2015-01-01 02:15:00,861.7166463420803,False,0.0
2015-01-01 02:30:00,806.9166610585299,False,0.0
2015-01-01 02:45:00,949.203987799584,False,0.0
2015-01-01 03:00:00,1112.0059747724063,False,0.0
2015-01-01 03:15:00,1137.0593238493489,False,0.0
2015-01-01 03:30:00,1031.786362586152,False,0.0
2015-01-01 03:45:00,1036.414473897764,False,0.0
2015-01-01 04:00:00,1248.1551322978894,False,0.0
2015-01-01 04:15:00,1315.3976737628032,False,0.0
2015-01-01 04:30:00,1339.370657813918,False,0.0
2015-01-01 04:45:00,1362.6920783305127,False,0.0
2015-01-01 05:00:00,1202.8922889156313,False,0.0
2015-01-01 05:15:00,1300.3876882957127,False,0.0
2015-01-01 05:30:00,1441.6400696196679,False,0.0
2015-01-01 05:45:00,1463.015833342414,False,0.0
2015-01-01 06:00:00,1459.357274502024,False,0.0
2015-01-01 06:15:00,1401.2133740431698,False,0.0
2015-01-01 06:30:00,1324.1720309916514,False,0.0
2015-01-01 06:45:00,1444.1132352983554,False,0.0
2015-01-01 07:00:00,1494.4896244115926,False,0.0
2015-01-01 07:15:00,6530.066666723383,True,12.0
2015-01-01 07:30:00,6376.271427117725,True,1.0
2015-01-01 07:45:00,6150.874812669207,True,7.0
2015-01-01 08:00:00,6056.585033803471,True,0.0
2015-01-01 08:15:00,5923.751711242619,True,0.0
2015-01-01 08:30:00,5935.644180743989,True,1.0
2015-01-01 08:45:00,5847.398070236887,True,6.0
2015-01-01 09:00:00,5538.487838837905,True,7.0
2015-01-01 09:15:00,5540.760295629005,True,0.0
2015-01-01 09:30:00,5525.014239219093,True,8.0
2015-01-01 09:45:00,5345.511959172844,True,0.0
2015-01-01 10:00:00,5291.139174433589,True,1.0
2015-01-01 10:15:00,5109.694162560006,True,0.0
2015-01-01 10:30:00,47.57901913278924,False,0.0
2015-01-01 10:45:00,175.873282944167,False,0.0
2015-01-01 11:00:00,93.29636343866568,False,0.0
2015-01-01 11:15:00,5030.892239499916,True,0.0
2015-01-01 11:30:00,4659.069616502372,True,0.0
2015-01-01 11:45:00,4833.486410769807,True,6.0
2015-01-01 12:00:00,4761.864787440891,True,0.0
2015-01-01 12:15:00,4625.3999650212,True,0.0
2015-01-01 12:30:00,4550.2266532858275,True,2.0
2015-01-01 12:45:00,4362.007773790876,True,3.0
2015-01-01 13:00:00,4190.6097975569955,True,2.0
2015-01-01 13:15:00,4270.312226594286,True,0.0
2015-01-01 13:30:00,3968.5767528246197,True,1.0
2015-01-01 13:45:00,3642.430305528664,True,1.0
2015-01-01 14:00:00,3139.022413900227,True,4.0
2015-01-01 14:15:00,3764.607611344967,True,2.0
2015-01-01 14:30:00,3824.5983863979563,True,2.0
2015-01-01 14:45:00,3917.881879954054,True,2.0
2015-01-01 15:00:00,3881.9673670702864,True,0.0
2015-01-01 15:15:00,3812.6074431519396,True,12.0
2015-01-01 15:30:00,3610.705800968298,True,8.0
2015-01-01 15:45:00,3475.9987995680044,True,4.0
2015-01-01 16:00:00,3503.168070626151,True,0.0
2015-01-01 16:15:00,3551.39652650003,True,0.0
2015-01-01 16:30:00,3401.7448201700886,True,12.0
2015-01-01 16:45:00,3323.166223847657,True,4.0
2015-01-01 17:00:00,3319.8874530261705,True,0.0
2015-01-01 17:15:00,3391.440610703402,True,0.0
2015-01-01 17:30:00,3238.6408775316236,True,12.0
2015-01-01 17:45:00,3325.001960947228,True,0.0
2015-01-01 18:00:00,3383.8140551821125,True,0.0
2015-01-01 18:15:00,3191.4904755829716,True,0.0
2015-01-01 18:30:00,3265.6443076306155,True,1.0
2015-01-01 18:45:00,3279.9282944378933,True,0.0
2015-01-01 19:00:00,3234.472771660884,True,0.0
2015-01-01 19:15:00,3299.144020729603,True,12.0
2015-01-01 19:30:00,3162.3728938605036,True,0.0
2015-01-01 19:45:00,3190.2350418740343,True,7.0
2015-01-01 20:00:00,3296.5286194993882,True,0.0
2015-01-01 20:15:00,3287.3475071669823,True,13.0
2015-01-01 20:30:00,3226.579353846518,True,0.0
2015-01-01 20:45:00,2883.4866742990284,True,0.0
2015-01-01 21:00:00,3271.3399963789648,True,10.0
2015-01-01 21:15:00,3402.556093724955,True,2.0
2015-01-01 21:30:00,3261.7058304663924,True,0.0
2015-01-01 21:45:00,2915.7703054160856,True,14.0
2015-01-01 22:00:00,3105.4754361593546,True,2.0
2015-01-01 22:15:00,2942.8232870894562,True,0.0
2015-01-01 22:30:00,3249.7817350688774,True,14.0
2015-01-01 22:45:00,3276.19625221546,True,2.0
2015-01-01 23:00:00,3323.926729485032,True,2.0
2015-01-01 23:15:00,3293.758392605341,True,1.0
2015-01-01 23:30:00,0.0,False,0.0
2015-01-01 23:45:00,0.0,False,0.0
2015-01-02 00:00:00,0.0,False,0.0
2015-01-02 00:15:00,0.0,False,0.0
2015-01-02 00:30:00,0.0,False,0.0
2015-01-02 00:45:00,0.0,False,0.0
2015-01-02 01:00:00,0.0,False,0.0
2015-01-02 01:15:00,0.0,False,0.0
2015-01-02 01:30:00,0.0,False,0.0
2015-01-02 01:45:00,0.0,False,0.0
2015-01-02 02:00:00,0.0,False,0.0
2015-01-02 02:15:00,0.0,False,0.0
2015-01-02 02:30:00,0.0,False,0.0
2015-01-02 02:45:00,0.0,False,0.0
2015-01-02 03:00:00,0.0,False,0.0
2015-01-02 03:15:00,0.0,False,0.0
2015-01-02 03:30:00,0.0,False,0.0
2015-01-02 03:45:00,0.0,False,0.0
2015-01-02 04:00:00,0.0,False,0.0
2015-01-02 04:15:00,0.0,False,0.0
2015-01-02 04:30:00,0.0,False,0.0
2015-01-02 04:45:00,0.0,False,0.0
2015-01-02 05:00:00,66.74857860242813,False,0.0
2015-01-02 05:15:00,183.77077737753305,False,0.0
2015-01-02 05:30:00,247.88206022751922,False,0.0
2015-01-02 05:45:00,249.74967874559903,False,0.0
2015-01-02 06:00:00,259.7178511067916,False,0.0
2015-01-02 06:15:00,404.2993127813848,False,0.0
2015-01-02 06:30:00,548.4975050475923,False,0.0
2015-01-02 06:45:00,5623.128509189138,True,0.0
2015-01-02 07:00:00,5565.840091309424,True,14.0
2015-01-02 07:15:00,404.7820756387213,False,0.0
2015-01-02 07:30:00,365.77704063135513,False,0.0
2015-01-02 07:45:00,635.7939265907282,False,0.0
2015-01-02 08:00:00,608.2211493658143,False,0.0
2015-01-02 08:15:00,659.0226099544362,False,0.0
2015-01-02 08:30:00,673.8712315669795,False,0.0
2015-01-02 08:45:00,617.7535484526035,False,0.0
2015-01-02 09:00:00,504.6022232500098,False,0.0
2015-01-02 09:15:00,689.7440337670444,False,0.0
2015-01-02 09:30:00,728.9511721929977,False,0.0
2015-01-02 09:45:00,5794.253622323665,True,0.0
2015-01-02 10:00:00,5431.010934761113,True,0.0
2015-01-02 10:15:00,4940.922459073043,True,0.0
2015-01-02 10:30:00,5039.151998513072,True,0.0
2015-01-02 10:45:00,5000.229771119391,True,8.0
2015-01-02 11:00:00,4897.471138842545,True,0.0
2015-01-02 11:15:00,4841.039137520447,True,0.0
2015-01-02 11:30:00,4826.731125499082,True,4.0
2015-01-02 11:45:00,4790.139967886271,True,1.0
2015-01-02 12:00:00,4416.360965464356,True,0.0
2015-01-02 12:15:00,3418.795216340121,True,12.0
2015-01-02 12:30:00,4070.075900967799,True,8.0
2015-01-02 12:45:00,3106.036882916984,True,7.0
2015-01-02 13:00:00,3238.746582248737,True,2.0
2015-01-02 13:15:00,4306.35661808555,True,0.0
2015-01-02 13:30:00,4172.16527316646,True,0.0
2015-01-02 13:45:00,4094.8063313995967,True,0.0
2015-01-02 14:00:00,2844.338510378764,True,0.0
2015-01-02 14:15:00,3718.8463244354357,True,0.0
2015-01-02 14:30:00,3970.5616699072602,True,0.0
2015-01-02 14:45:00,3956.84872400449,True,2.0
2015-01-02 15:00:00,3927.7842414144934,True,0.0
2015-01-02 15:15:00,0.0,False,0.0
2015-01-02 15:30:00,0.0,False,0.0
2015-01-02 15:45:00,0.0,False,0.0
2015-01-02 16:00:00,4210.737576070351,True,2.0
2015-01-02 16:15:00,4009.4626926418377,True,1.0
2015-01-02 16:30:00,3850.6231849269516,True,1.0
2015-01-02 16:45:00,3629.3269947654944,True,0.0
2015-01-02 17:00:00,3770.2762363025167,True,0.0
2015-01-02 17:15:00,3782.3068820361786,True,6.0
2015-01-02 17:30:00,3226.578451034345,True,12.0
2015-01-02 17:45:00,2314.3101117895753,True,0.0
2015-01-02 18:00:00,2928.5678385070037,True,12.0
2015-01-02 18:15:00,3523.0759797545206,True,2.0
2015-01-02 18:30:00,3648.2334813106822,True,0.0
2015-01-02 18:45:00,3629.0653845150146,True,1.0
2015-01-02 19:00:00,3215.451786941687,True,0.0
2015-01-02 19:15:00,3436.662893010345,True,0.0
2015-01-02 19:30:00,3511.9619262870256,True,0.0
2015-01-02 19:45:00,3436.148535117039,True,1.0
2015-01-02 20:00:00,3374.9861692841264,True,12.0
2015-01-02 20:15:00,3342.1932027040257,True,2.0
2015-01-02 20:30:00,3205.4908838553374,True,2.0
2015-01-02 20:45:00,3330.5673299525806,True,0.0
2015-01-02 21:00:00,3368.019871226108,True,0.0
2015-01-02 21:15:00,3199.6104965805102,True,0.0
2015-01-02 21:30:00,2883.290654508459,True,3.0
2015-01-02 21:45:00,3185.7204315056315,True,2.0
2015-01-02 22:00:00,3122.2941258767873,True,0.0
2015-01-02 22:15:00,3213.8387455300185,True,1.0
2015-01-02 22:30:00,3195.146152036375,True,3.0
2015-01-02 22:45:00,0.0,False,1.0
2015-01-02 23:00:00,0.0,False,0.0
2015-01-02 23:15:00,0.0,False,0.0
2015-01-02 23:30:00,0.0,False,0.0
2015-01-02 23:45:00,0.0,False,0.0
2015-01-03 00:00:00,0.0,False,0.0
2015-01-03 00:15:00,0.0,False,0.0
2015-01-03 00:30:00,0.0,False,0.0
2015-01-03 00:45:00,0.0,False,0.0
2015-01-03 01:00:00,0.0,False,0.0
2015-01-03 01:15:00,0.0,False,0.0
2015-01-03 01:30:00,0.0,False,0.0
2015-01-03 01:45:00,0.0,False,0.0
2015-01-03 02:00:00,0.0,False,0.0
2015-01-03 02:15:00,0.0,False,0.0
2015-01-03 02:30:00,0.0,False,0.0
2015-01-03 02:45:00,0.0,False,0.0
2015-01-03 03:00:00,0.0,False,0.0
2015-01-03 03:15:00,0.0,False,0.0
2015-01-03 03:30:00,0.0,False,0.0
2015-01-03 03:45:00,0.0,False,0.0
2015-01-03 04:00:00,0.0,False,0.0
2015-01-03 04:15:00,0.0,False,0.0
2015-01-03 04:30:00,0.0,False,0.0
2015-01-03 04:45:00,0.0,False,0.0
2015-01-03 05:00:00,0.0,False,0.0
2015-01-03 05:15:00,0.0,False,0.0
2015-01-03 05:30:00,0.0,False,0.0
2015-01-03 05:45:00,0.0,False,0.0
2015-01-03 06:00:00,0.0,False,0.0
2015-01-03 06:15:00,0.0,False,0.0
2015-01-03 06:30:00,0.0,False,0.0
2015-01-03 06:45:00,0.0,False,0.0
2015-01-03 07:00:00,0.0,False,0.0
2015-01-03 07:15:00,0.0,False,0.0
2015-01-03 07:30:00,134.84433021417308,False,0.0
2015-01-03 07:45:00,176.5617100643778,False,0.0
2015-01-03 08:00:00,136.65695922246096,False,0.0
2015-01-03 08:15:00,5013.221216997281,True,3.0
2015-01-03 08:30:00,4852.936347444082,True,0.0
2015-01-03 08:45:00,4828.159662010844,True,14.0
2015-01-03 09:00:00,4651.4184222933,True,24.0
2015-01-03 09:15:00,4639.646220320271,True,0.0
2015-01-03 09:30:00,4550.256511870224,True,0.0
2015-01-03 09:45:00,4215.447433110656,True,0.0
2015-01-03 10:00:00,0.0,False,2.0
2015-01-03 10:15:00,0.0,False,0.0
2015-01-03 10:30:00,0.0,False,0.0
2015-01-03 10:45:00,0.0,False,0.0
2015-01-03 11:00:00,0.0,False,0.0
2015-01-03 11:15:00,3980.795320686723,True,0.0
2015-01-03 11:30:00,3964.7496309725525,True,3.0
2015-01-03 11:45:00,3900.248680762388,True,2.0
2015-01-03 12:00:00,3533.5584153434534,True,2.0
2015-01-03 12:15:00,3309.3757183819957,True,6.0
2015-01-03 12:30:00,3207.371974436682,True,0.0
2015-01-03 12:45:00,3067.256928676723,True,1.0
2015-01-03 13:00:00,1196.757884883077,True,0.0
2015-01-03 13:15:00,2811.9981530589134,True,2.0
2015-01-03 13:30:00,2948.2592062220197,True,14.0
2015-01-03 13:45:00,2658.9327969069172,True,18.0
2015-01-03 14:00:00,2661.5835980937027,True,2.0
2015-01-03 14:15:00,2391.8981735308816,True,0.0
2015-01-03 14:30:00,2111.5176761898565,True,0.0
2015-01-03 14:45:00,2150.47343750632,True,0.0
2015-01-03 15:00:00,2243.3110246928245,True,14.0
2015-01-03 15:15:00,2584.9210686276565,True,0.0
2015-01-03 15:30:00,2576.360426433517,True,24.0
2015-01-03 15:45:00,2569.2385620313557,True,2.0
2015-01-03 16:00:00,2649.6305761277245,True,0.0
2015-01-03 16:15:00,2603.366197347142,True,6.0
2015-01-03 16:30:00,2587.3142795606914,True,12.0
2015-01-03 16:45:00,2598.971641770883,True,1.0
2015-01-03 17:00:00,2738.46177642934,True,1.0
2015-01-03 17:15:00,2715.637662518281,True,1.0
2015-01-03 17:30:00,2435.3996477510123,True,0.0
2015-01-03 17:45:00,2591.223856801019,True,0.0
2015-01-03 18:00:00,2911.4911749250364,True,2.0
2015-01-03 18:15:00,2574.936071741622,True,0.0
2015-01-03 18:30:00,2874.375449760266,True,0.0
2015-01-03 18:45:00,2737.7980126211355,True,0.0
2015-01-03 19:00:00,2547.8995568081195,True,0.0
2015-01-03 19:15:00,2827.1155519072045,True,0.0
2015-01-03 19:30:00,2946.172658607358,True,40.0
2015-01-03 19:45:00,2958.323446544008,True,12.0
2015-01-03 20:00:00,2422.0558868865774,True,0.0
2015-01-03 20:15:00,2918.1408357838973,True,2.0
2015-01-03 20:30:00,2631.518841114933,True,0.0
2015-01-03 20:45:00,2898.3321513154747,True,27.0
2015-01-03 21:00:00,3111.6033858423193,True,2.0
2015-01-03 21:15:00,3114.8926407633226,True,0.0
2015-01-03 21:30:00,3006.707910449367,True,2.0
2015-01-03 21:45:00,3021.964146679917,True,0.0
2015-01-03 22:00:00,3243.3962572984738,True,0.0
2015-01-03 22:15:00,2825.037394669524,True,0.0
2015-01-03 22:30:00,3247.7009841837953,True,0.0
2015-01-03 22:45:00,3183.904791521945,True,0.0
2015-01-03 23:00:00,3259.2030377322576,True,4.0
2015-01-03 23:15:00,3391.727710829186,True,0.0
2015-01-03 23:30:00,3438.0867612483908,True,0.0
2015-01-03 23:45:00,3286.9192536991795,True,0.0
2015-01-04 00:00:00,0.0,False,0.0
2015-01-04 00:15:00,0.0,False,0.0
2015-01-04 00:30:00,0.0,False,0.0
2015-01-04 00:45:00,0.0,False,0.0
2015-01-04 01:00:00,0.0,False,0.0
2015-01-04 01:15:00,0.0,False,0.0
2015-01-04 01:30:00,0.0,False,0.0
2015-01-04 01:45:00,0.0,False,0.0
2015-01-04 02:00:00,0.0,False,0.0
2015-01-04 02:15:00,4852.670220104323,True,0.0
2015-01-04 02:30:00,4829.928732893339,True,2.0
2015-01-04 02:45:00,0.0,False,0.0
2015-01-04 03:00:00,0.0,False,0.0
2015-01-04 03:15:00,28.67032555635877,False,0.0
2015-01-04 03:30:00,122.22351502714886,False,0.0
2015-01-04 03:45:00,213.23401533305432,False,0.0
2015-01-04 04:00:00,263.00606574391963,False,0.0
2015-01-04 04:15:00,219.17432665414347,False,0.0
2015-01-04 04:30:00,421.8621535948953,False,0.0
2015-01-04 04:45:00,572.1478088671282,False,0.0
2015-01-04 05:00:00,662.9098464445709,False,0.0
2015-01-04 05:15:00,714.9637780980951,False,0.0
2015-01-04 05:30:00,686.7518056424942,False,0.0
2015-01-04 05:45:00,819.2685090510735,False,0.0
2015-01-04 06:00:00,864.2357000668571,False,0.0
2015-01-04 06:15:00,6030.267597917747,True,7.0
2015-01-04 06:30:00,5994.445671252881,True,0.0
2015-01-04 06:45:00,5785.593759018499,True,1.0
2015-01-04 07:00:00,5519.123834910789,True,1.0
2015-01-04 07:15:00,5787.116804094672,True,1.0
2015-01-04 07:30:00,5642.795138564726,True,6.0
2015-01-04 07:45:00,5731.147475394301,True,6.0
2015-01-04 08:00:00,5584.25292465693,True,0.0
2015-01-04 08:15:00,5539.642728353538,True,18.0
2015-01-04 08:30:00,5603.74165451211,True,13.0
2015-01-04 08:45:00,5571.211448232047,True,0.0
2015-01-04 09:00:00,5066.442249560361,True,0.0
2015-01-04 09:15:00,5068.677930639179,True,4.0
2015-01-04 09:30:00,5219.299061209721,True,0.0
2015-01-04 09:45:00,5300.209479784786,True,41.0
2015-01-04 10:00:00,4880.989717491536,True,12.0
2015-01-04 10:15:00,5069.652379838096,True,0.0
2015-01-04 10:30:00,3728.3052197856678,True,0.0
2015-01-04 10:45:00,4602.339042740935,True,7.0
2015-01-04 11:00:00,4370.754822089024,True,0.0
2015-01-04 11:15:00,4615.006677769286,True,0.0
2015-01-04 11:30:00,4573.841650006743,True,0.0
2015-01-04 11:45:00,4543.397635614895,True,0.0
2015-01-04 12:00:00,4021.261183871486,True,1.0
2015-01-04 12:15:00,3998.6722459251423,True,0.0
2015-01-04 12:30:00,4107.1282924299885,True,0.0
2015-01-04 12:45:00,4118.083441398093,True,0.0
2015-01-04 13:00:00,3893.939721777499,True,2.0
2015-01-04 13:15:00,3653.070151611721,True,0.0
2015-01-04 13:30:00,3573.4574923588775,True,0.0
2015-01-04 13:45:00,3572.1094284974383,True,0.0
2015-01-04 14:00:00,3595.711791492723,True,0.0
2015-01-04 14:15:00,3511.423055393798,True,6.0
2015-01-04 14:30:00,3488.988742081547,True,6.0
2015-01-04 14:45:00,3234.475993301801,True,0.0
2015-01-04 15:00:00,3338.273476899112,True,3.0
2015-01-04 15:15:00,3222.8924657666576,True,16.0
2015-01-04 15:30:00,3241.779519658234,True,0.0
2015-01-04 15:45:00,2570.808262996151,True,1.0
2015-01-04 16:00:00,2767.3689455784815,True,1.0
2015-01-04 16:15:00,2882.9112157127383,True,0.0
2015-01-04 16:30:00,2864.33566618039,True,0.0
2015-01-04 16:45:00,2912.226414317121,True,0.0
2015-01-04 17:00:00,3304.433583255645,True,0.0
2015-01-04 17:15:00,3247.3419197802737,True,0.0
2015-01-04 17:30:00,3197.0775356605573,True,14.0
2015-01-04 17:45:00,3028.510946944234,True,6.0
2015-01-04 18:00:00,2061.325213425495,True,6.0
2015-01-04 18:15:00,1871.208652320362,True,0.0
2015-01-04 18:30:00,3167.0576736345615,True,3.0
