,heat,occupancy,water
2015-01-01 00:00:00,5643.384274228974,True,1.0
2015-01-01 00:15:00,5644.692854140464,True,0.0
2015-01-01 00:30:00,5621.493968804163,True,0.0
2015-01-01 00:45:00,613.8911813163195,False,0.0
2015-01-01 01:00:00,613.6070755210225,False,0.0
2015-01-01 01:15:00,580.5519697616076,False,0.0
2015-01-01 01:30:00,718.9963259418937,False,0.0
2015-01-01 01:45:00,748.0801477846181,False,0.0
2015-01-01 02:00:00,920.0770333486779,False,0.0
2015-01-01 02:15:00,984.9374957650331,False,0.0
2015-01-01 02:30:00,946.5595313868167,False,0.0
2015-01-01 02:45:00,975.4906692874698,False,0.0
2015-01-01 03:00:00,1205.7408125516517,False,0.0
2015-01-01 03:15:00,1238.344042581626,False,0.0
2015-01-01 03:30:00,1270.0161279394133,False,0.0
2015-01-01 03:45:00,1300.7836620146936,False,0.0
2015-01-01 04:00:00,1314.7124740428537,False,0.0
2015-01-01 04:15:00,1414.325324151025,False,0.0
2015-01-01 04:30:00,1479.4516139006175,False,0.0
2015-01-01 04:45:00,1509.6113880474452,False,0.0
2015-01-01 05:00:00,1555.3637159720026,False,0.0
2015-01-01 05:15:00,1575.7201656607663,False,0.0
2015-01-01 05:30:00,1482.77195397699,False,0.0
2015-01-01 05:45:00,1637.9939019836784,False,0.0
2015-01-01 06:00:00,1639.9524230841432,False,0.0
2015-01-01 06:15:00,1665.0245278661682,False,0.0
2015-01-01 06:30:00,6716.690158826224,True,3.0
2015-01-01 06:45:00,6593.884791197795,True,2.0
2015-01-01 07:00:00,6401.326471451448,True,0.0
2015-01-01 07:15:00,6360.443114269042,True,2.0
2015-01-01 07:30:00,6250.160684694926,True,2.0
2015-01-01 07:45:00,1226.6574610540147,False,0.0
2015-01-01 08:00:00,1228.0750561483742,False,0.0
2015-01-01 08:15:00,1185.193525916329,False,0.0
2015-01-01 08:30:00,1228.6194649021813,False,0.0
2015-01-01 08:45:00,1314.7518620695384,False,0.0
2015-01-01 09:00:00,1229.2170399210822,False,0.0
2015-01-01 09:15:00,1247.9315129287597,False,0.0
2015-01-01 09:30:00,1266.111502640834,False,0.0
2015-01-01 09:45:00,1171.4152123444708,False,0.0
2015-01-01 10:00:00,1148.5852456198697,False,0.0
2015-01-01 10:15:00,1184.4045526222637,False,0.0
2015-01-01 10:30:00,1194.3709772117809,False,0.0
2015-01-01 10:45:00,1204.0527618086116,False,0.0
