,heat,occupancy,water
2015-01-01 00:00:00,944.5572874535442,False,0.0
2015-01-01 00:15:00,804.4577650487241,False,0.0
2015-01-01 00:30:00,872.6637133579635,False,0.0
2015-01-01 00:45:00,1035.2605412833286,False,0.0
2015-01-01 01:00:00,1010.445736023581,False,0.0
2015-01-01 01:15:00,1050.5854653087645,False,0.0
2015-01-01 01:30:00,1089.4684279252517,False,0.0
2015-01-01 01:45:00,966.1104959292738,False,0.0
2015-01-01 02:00:00,1159.4720855476796,False,0.0
2015-01-01 02:15:00,1295.1376202098659,False,0.0
2015-01-01 02:30:00,1334.0327800895948,False,0.0
2015-01-01 02:45:00,1371.7101405127519,False,0.0
2015-01-01 03:00:00,1526.367055262726,False,0.0
2015-01-01 03:15:00,1420.8061530629682,False,0.0
2015-01-01 03:30:00,1547.9884913845715,False,0.0
2015-01-01 03:45:00,1662.4479357574216,False,0.0
2015-01-01 04:00:00,1790.1476606827503,False,0.0
2015-01-01 04:15:00,1831.7018207211431,False,0.0
2015-01-01 04:30:00,1828.7424135273816,False,0.0
2015-01-01 04:45:00,1750.6953080354674,False,0.0
2015-01-01 05:00:00,1907.6686112272585,False,0.0
2015-01-01 05:15:00,1999.4564327050098,False,0.0
2015-01-01 05:30:00,2035.8105443038028,False,0.0
2015-01-01 05:45:00,2071.0264161451078,False,0.0
2015-01-01 06:00:00,2010.8656812749118,False,0.0
2015-01-01 06:15:00,1982.130313764422,False,0.0
2015-01-01 06:30:00,2079.8834416582818,False,0.0
2015-01-01 06:45:00,2169.0273713345846,False,0.0
2015-01-01 07:00:00,1995.8232883036821,False,0.0
2015-01-01 07:15:00,6911.52711145129,True,0.0
2015-01-01 07:30:00,5672.077758503817,True,1.0
2015-01-01 07:45:00,1212.468826998089,False,0.0
2015-01-01 08:00:00,1893.1575671800263,False,0.0
2015-01-01 08:15:00,1982.9187179032347,False,0.0
2015-01-01 08:30:00,2007.7532766527786,False,0.0
2015-01-01 08:45:00,2031.8102704754046,False,0.0
2015-01-01 09:00:00,1822.0820326282055,False,0.0
2015-01-01 09:15:00,1890.112743932075,False,0.0
2015-01-01 09:30:00,1901.1382534213292,False,0.0
2015-01-01 09:45:00,1984.908970277263,False,0.0
2015-01-01 10:00:00,1873.1544831789931,False,0.0
2015-01-01 10:15:00,1862.1239204469666,False,0.0
2015-01-01 10:30:00,1755.592583116417,False,0.0
2015-01-01 10:45:00,1853.3912462158914,False,0.0
2015-01-01 11:00:00,1701.466465513035,False,0.0
2015-01-01 11:15:00,1774.3811300349107,False,0.0
2015-01-01 11:30:00,1773.3403258621722,False,0.0
2015-01-01 11:45:00,1729.1195940265802,False,0.0
2015-01-01 12:00:00,1541.5032746960953,False,0.0
2015-01-01 12:15:00,1658.3424337717377,False,0.0
2015-01-01 12:30:00,1582.453791306032,False,0.0
2015-01-01 12:45:00,1645.885325005508,False,0.0
2015-01-01 13:00:00,1590.3708732890339,False,0.0
2015-01-01 13:15:00,1513.8516642043976,False,0.0
2015-01-01 13:30:00,1471.1838430863513,False,0.0
2015-01-01 13:45:00,1566.5747783828665,False,0.0
2015-01-01 14:00:00,1468.7180956968905,False,0.0
2015-01-01 14:15:00,1526.6540334433973,False,0.0
2015-01-01 14:30:00,1530.6669288325056,False,0.0
2015-01-01 14:45:00,1429.930311492631,False,0.0
2015-01-01 15:00:00,1447.7299913433415,False,0.0
2015-01-01 15:15:00,1520.9966347773927,False,0.0
2015-01-01 15:30:00,1447.6407542709144,False,0.0
2015-01-01 15:45:00,1498.5150865587823,False,0.0
2015-01-01 16:00:00,1574.2635349609377,False,0.0
2015-01-01 16:15:00,1454.8036776483204,False,0.0
2015-01-01 16:30:00,1523.768906699864,False,0.0
2015-01-01 16:45:00,1576.404267357066,False,0.0
2015-01-01 17:00:00,1611.52054268726,False,0.0
2015-01-01 17:15:00,6686.60879689873,True,0.0
2015-01-01 17:30:00,6511.763141358032,True,1.0
2015-01-01 17:45:00,6268.367490286219,True,3.0
2015-01-01 18:00:00,6411.945725830273,True,1.0
2015-01-01 18:15:00,6022.12194027454,True,14.0
2015-01-01 18:30:00,1306.2880066574253,False,1.0
2015-01-01 18:45:00,1367.4631559123843,False,0.0
2015-01-01 19:00:00,1479.8059227470599,False,0.0
2015-01-01 19:15:00,1423.3150061659776,False,0.0
2015-01-01 19:30:00,1584.1848747825643,False,0.0
2015-01-01 19:45:00,1616.86304206496,False,0.0
2015-01-01 20:00:00,1651.182323086389,False,0.0
2015-01-01 20:15:00,6727.915109118126,True,0.0
2015-01-01 20:30:00,6598.30620629945,True,0.0
2015-01-01 20:45:00,6454.601218328286,True,0.0
2015-01-01 21:00:00,6457.81235675668,True,0.0
2015-01-01 21:15:00,6323.086616942553,True,0.0
2015-01-01 21:30:00,6151.2980639164925,True,0.0
2015-01-01 21:45:00,6092.121225777184,True,0.0
2015-01-01 22:00:00,6002.455252750042,True,40.0
2015-01-01 22:15:00,5945.389157682327,True,99.0
2015-01-01 22:30:00,6077.130338290149,True,2.0
2015-01-01 22:45:00,5977.678051722278,True,9.0
2015-01-01 23:00:00,983.2135138936484,False,0.0
2015-01-01 23:15:00,1040.7458898075367,False,0.0
2015-01-01 23:30:00,1028.9984765304473,False,0.0
2015-01-01 23:45:00,1154.7846250939633,False,0.0
2015-01-02 00:00:00,1306.8327721114854,False,0.0
2015-01-02 00:15:00,1369.5081689994743,False,0.0
2015-01-02 00:30:00,1375.8582720192128,False,0.0
2015-01-02 00:45:00,1397.9463411937027,False,0.0
2015-01-02 01:00:00,1391.4591755141712,False,0.0
2015-01-02 01:15:00,1536.487068337362,False,0.0
2015-01-02 01:30:00,1603.8632777456526,False,0.0
2015-01-02 01:45:00,1644.3703521606471,False,0.0
2015-01-02 02:00:00,1707.2302333850855,False,0.0
2015-01-02 02:15:00,1689.4368111009187,False,0.0
2015-01-02 02:30:00,1691.411515534722,False,0.0
2015-01-02 02:45:00,1857.7122528765858,False,0.0
2015-01-02 03:00:00,1973.202757106493,False,0.0
2015-01-02 03:15:00,2013.1983787337838,False,0.0
2015-01-02 03:30:00,2021.9204194438987,False,0.0
2015-01-02 03:45:00,1964.8805891689242,False,0.0
2015-01-02 04:00:00,2095.4141343401807,False,0.0
2015-01-02 04:15:00,2236.7118895593,False,0.0
2015-01-02 04:30:00,2274.5472421882832,False,0.0
2015-01-02 04:45:00,2311.197977707753,False,0.0
2015-01-02 05:00:00,2383.1220345090014,False,0.0
2015-01-02 05:15:00,2290.1163145460714,False,0.0
2015-01-02 05:30:00,2401.5826206276024,False,0.0
2015-01-02 05:45:00,2513.497046381857,False,0.0
2015-01-02 06:00:00,2611.8599399645873,False,0.0
2015-01-02 06:15:00,2648.099730530698,False,0.0
2015-01-02 06:30:00,2663.1906432209453,False,0.0
2015-01-02 06:45:00,2530.89470459564,False,0.0
2015-01-02 07:00:00,2706.220905585703,False,0.0
2015-01-02 07:15:00,2789.854435254639,False,0.0
2015-01-02 07:30:00,2821.3502168429654,False,0.0
2015-01-02 07:45:00,7879.465506840139,True,1.0
2015-01-02 08:00:00,7664.576824130861,True,0.0
2015-01-02 08:15:00,7352.962879243904,True,0.0
2015-01-02 08:30:00,2519.38854598771,False,0.0
2015-01-02 08:45:00,2576.7480939728307,False,0.0
2015-01-02 09:00:00,2455.0485076154905,False,0.0
2015-01-02 09:15:00,2476.5628207198656,False,0.0
2015-01-02 09:30:00,2444.1839013349645,False,0.0
2015-01-02 09:45:00,2312.1698586661464,False,0.0
2015-01-02 10:00:00,2409.0793662827123,False,0.0
2015-01-02 10:15:00,2421.251035646108,False,0.0
2015-01-02 10:30:00,2433.041612544989,False,0.0
2015-01-02 10:45:00,2444.4630289060406,False,0.0
2015-01-02 11:00:00,2303.775409009585,False,0.0
2015-01-02 11:15:00,2204.551200498063,False,0.0
2015-01-02 11:30:00,2382.100635635903,False,0.0
2015-01-02 11:45:00,2393.1618327379333,False,0.0
2015-01-02 12:00:00,2354.8160684050663,False,0.0
2015-01-02 12:15:00,2358.2957262988734,False,0.0
2015-01-02 12:30:00,2266.598903759245,False,0.0
2015-01-02 12:45:00,2210.789979334415,False,0.0
2015-01-02 13:00:00,2333.6067429987106,False,0.0
2015-01-02 13:15:00,2345.896043794776,False,0.0
2015-01-02 13:30:00,2348.244232371135,False,0.0
2015-01-02 13:45:00,2350.518899646102,False,0.0
2015-01-02 14:00:00,2219.0030262297537,False,0.0
2015-01-02 14:15:00,2218.5599406032243,False,0.0
2015-01-02 14:30:00,2325.8936019024904,False,0.0
2015-01-02 14:45:00,2342.798279923073,False,0.0
2015-01-02 15:00:00,2346.48685961129,False,0.0
2015-01-02 15:15:00,2332.0417528017497,False,0.0
2015-01-02 15:30:00,2222.2027800665237,False,0.0
2015-01-02 15:45:00,2261.7582710579923,False,0.0
2015-01-02 16:00:00,2356.7811950929504,False,0.0
2015-01-02 16:15:00,2380.965720914185,False,0.0
2015-01-02 16:30:00,2385.2803607273304,False,0.0
2015-01-02 16:45:00,2346.247395027835,False,0.0
2015-01-02 17:00:00,2272.3020141644583,False,0.0
2015-01-02 17:15:00,2344.6960455845815,False,0.0
2015-01-02 17:30:00,2383.3883371389375,False,0.0
2015-01-02 17:45:00,2412.439774272965,False,0.0
2015-01-02 18:00:00,2433.4467623455585,False,0.0
2015-01-02 18:15:00,2369.2533807550267,False,0.0
2015-01-02 18:30:00,2338.525468007201,False,0.0
2015-01-02 18:45:00,2390.4433775108496,False,0.0
2015-01-02 19:00:00,2430.4456311410963,False,0.0
2015-01-02 19:15:00,2465.057492723339,False,0.0
2015-01-02 19:30:00,2469.9166538201175,False,0.0
2015-01-02 19:45:00,2379.5561425218752,False,0.0
2015-01-02 20:00:00,2400.0950052823137,False,0.0
2015-01-02 20:15:00,7450.566681033475,True,0.0
2015-01-02 20:30:00,7326.753406899358,True,0.0
2015-01-02 20:45:00,7231.895485456217,True,12.0
2015-01-02 21:00:00,7008.252633132698,True,2.0
2015-01-02 21:15:00,6663.270836129151,True,1.0
2015-01-02 21:30:00,6612.8895637194955,True,1.0
2015-01-02 21:45:00,6531.24673272653,True,0.0
2015-01-02 22:00:00,6445.025018781884,True,1.0
2015-01-02 22:15:00,6419.458773998855,True,0.0
